category,source,target
*,Libertos Freedom Fighters,自由战士
*,Shasvastii Sabotage and Destruction Unit Caliban,“海怪”夏斯瓦提破坏摧毁单位
*,"Raktorak, Morat Sergeant Major",拉克托拉克，莫拉特军士长
*,Suryat Assault Heavy Infantry,索亚特，莫拉特突击重步兵团
*,"Oznat, Morat Hunting Regiment",奥兹纳特，莫拉特狩猎团
*,Sync Pretas,同步幽灵
*,Ikadron Batroids,伊卡德隆战斗机器人
*,"Kornak Gazarot, Morat Superior Warrior-Officer",科纳克·加扎罗，莫拉特高级士官
*,"Kornak Gazarot, Superior Warrior-Officer",科纳克·加扎罗，莫拉特高级士官
*,Treitak Anyat,崔塔克·安娅特
*,Shasvastii Corax Hasht,夏斯瓦提渡鸦部队 哈希特
*,E-Drones,E型无人机
*,Umbra Samaritans,暗影守卫
*,Nexus Operatives,连接密探
*,Xeodron Batroids,极欧隆战斗机兵
*,Overdron Batroids,欧文隆战斗机兵
*,Bit,Bit
*,"Keep It Simple, Stupid!",Kiss
*,Nexus-7 Operative Kerr-Nau,连接7号干员 卡尔-纳鲁
*,Shasvastii Nox Troops,夏斯瓦提诺克斯部队
*,Shasvastii Tactical Monitoring Company Mentor,“导师”夏斯瓦提战术监控连队
*,"Jayth Cutthroats, Shasvastii Independent Assault Group",杰斯割喉者，夏斯瓦提独立突击队
*,Taigha Creatures,泰伽生物
*,Greif Operators,格里芬干员
*,"Victor Messer, Autonomous Agent of Chaos",维克多·梅塞尔，混沌特工
*,Boarding Action Cadmus-Naish Agent Sheskiin,登舰装备龙牙-纳什特工 沙司金
*,Cadmus-Naish Agent Sheskiin,龙牙-纳什特工 沙司金
*,"Umbra Samaritan Nourkias, Kai'l Rank",暗影守卫诺基亚斯
*,"Agent Dukash, Vashar Special Corps","杜卡什特工,秋日特殊军团"
*,"Sargosh, Tunnel-crumbler of the Jayth Cutthroats",沙加什，杰斯隧道粉碎者
*,Special Operative Ko Dali,特工寇达莉
*,Dropsuit Taryot,塔姚特，突降服
*,MORAT VANGUARD,莫拉特先锋
*,UNIDRON,尤尼隆
*,FRAACTA,弗莱塔
*,UMBRA LEGATE,暗影
*,MAAKREP TRACKER,马克莱普追踪者
*,RODOK,锐达克
*,CHARONTID,引魂者
*,RAICHO,雷鸟
*,AVATAR,化身巨像
*,SHROUDED,隐秘者
*,MALIGNOS,恶魔
*,SPECULO KILLER,镜像杀手
*,DĀTURAZI,达图拉齐
*,GAKI,恶鬼
*,PRETA,幽灵
*,MED-TECH OBSIDON MEDCHANOID,黑曜石医疗维修体
*,M-DRONE,M型无人机
*,Q-DRONE,Q型无人机
*,T-DRONE,T型无人机
*,R-DRONE,R型无人机
*,SEED-SOLDIER,育种战士
*,CADMUS-SOLDIER,龙芽战士
*,HAIDUK,黑盗客
*,NOCTIFER,黑夜使者
*,KURGAT,库加特
*,YAOGAT,姚加特
*,RASYAT,拉斯亚特
*,SKIÁVORO,暗影吞噬者
*,SOGARAT,索加拉特
*,ANATHEMATIC,憎恶
*,SPHINX,斯芬克斯
*,ZERAT,泽拉特
*,SLAVE DRONE,奴隶工蜂
*,LIBERTO,自由战士
*,CALIBAN,海怪
*,RAKTORAK,拉托拉克
*,SURYAT,索亚特
*,SURYATS,索亚特
*,OZNAT,奥兹纳特
*,IKADRON,伊卡德龙
*,SHESKIIN BOARDING,沙司金 登舰装备
*,SHESKIIN,沙司金
*,KORNAK Gazarot,科纳克·加扎罗
*,KORNAK,科纳克
*,ANYAT,安娅特
*,CORAX HASHT,渡鸦哈希特
*,E-DRONE,E型无人机
*,UMBRA SAMARITAN,暗影守卫
*,NEXUS,连接密探
*,XEODRON,极欧隆
*,KRAKOT RENEGADE,科拉克特叛军
*,OVERDRON,欧文隆
*,KERR-NAU,卡尔-纳鲁
*,NOX,诺克斯
*,MENTOR,导师
*,JAYTH CUTTHROATS,杰斯割喉者
*,TAIGHA,泰伽
*,GREIF-OP,格里芬干员
*,VICTOR MESSER,维克多·梅塞尔
*,NOURKIAS,诺基亚斯
*,AGENT DUKASH,杜卡什特工
*,SARGOSH,沙加什
*,KO DALI,寇达莉
*,DROPSUIT TARYOT,塔姚特，突降服
*,Fusiliers,燧发枪手
*,"Akalis, Sikh Commandos",永恒之子，锡克突击队
*,Nisses,精灵
*,Neoterra Bolts,新地星闪击队
*,Orc Troops,兽人部队
*,Knights Hospitaller,医院骑士
*,Aquila Guard,天鹰守卫
*,Swiss Guard,瑞士守卫
*,"Squalos, PanOceanian Armored Cavalry Heavy Lancers",鲨鱼，泛大洋洲重装枪骑兵
*,Crabbot Ancillary Remote Unit,蟹式辅助遥控机小组
*,"Dragões, Acontecimento Dragoons",火龙，机遇星龙骑兵
*,"Cutters, Varuna Naval Chasseurs",快艇，水神星海军猎骑兵
*,Croc Men,鳄人
*,Trauma-Docs,外伤医师
*,Machinists,机械师
*,Pathfinder Dronbot,开拓者遥控机
*,Sierra Dronbot,群山遥控机
*,Clipper Dronbot,清扫者遥控机
*,Fugazi Dronbot,福格齐遥控机
*,Jeanne d'Arc v2 (Mobility Armor),圣女贞德2型(机动装甲)
*,Jeanne d'Arc,圣女贞德
*,Acontecimento Regulars,机遇星正规军
*,Auxilia,辅助军
*,AUXBOT,辅助遥控机
*,"Hexas, Strategic Security Division",六面体，战略安全部
*,Order Sergeants,修会军士
*,Bagh-Mari Unit,猎虎者部队
*,Guarda de Assalto,突击守卫
*,Knights of Santiago,圣地亚哥骑士
*,Knights of the Holy Sepulchre,圣陵骑士
*,Teutonic Knights,条顿骑士
*,Magister Knights,导师骑士
*,Clausewitz Uhlans,克劳塞维茨枪骑兵
*,"Tikbalangs, Armored Chasseurs of Acontecimento",马头猿，机遇星装甲猎骑兵
*,"TIKBALANGS, Armoured Chasseurs of Acontecimento",马头猿，机遇星装甲猎骑兵
*,Seraphs,炽天使
*,Armbots: Bulleteer,武装遥控机：弹眼
*,Armbots: Peacemakers,武装遥控机：和平缔造者
*,Palbots,伺服遥控机
*,Mulebots,骡式遥控机
*,"Kirpal Singh, Akalis Sergeant",基帕尔·辛格，永恒之子军士
*,Father-Officer Gabriele De Fersen,神父军官，加布里埃尔·德菲尔逊
*,Crusader Brethren,十字军兄弟会
*,Jotums. Svalarheima Armoured Cuirassiers Regiment,约顿巨人，冰原星重装骑兵团
*,Jotums. Svalarheima Armoured Cuirassiers,约顿巨人，冰原星重装骑兵团
*,Jotums,约顿巨人
*,"Lt. Stephen Rao, Bagh-Mari Unit",斯蒂文·饶，猎虎者尉官
*,"LIEUTENANT STEPHEN RAO, Bagh-Mari Unit",斯蒂文·饶，猎虎者尉官
*,Fusilier Indigo Bipandra,靛蓝燧发枪手比班德拉
*,Indigo Brother Konstantinos,靛蓝修士康斯坦丁
*,Kamau Amphibian Intervention Teams,无声勇士两栖介入部队
*,"Locust, Clandestine Action Team",蝗虫，秘密行动小组
*,PanOceanian Black Friars,泛大洋黑衣修士
*,"Tech-Bees, Maintenance Battalions",维修营机蜂
*,Motorized Knights of Montesa,蒙特莎机动骑士
*,"Echo-Bravo, Rapid Reaction Unit","回音杀手,快速反应部队"
*,"Zulu-Cobra, Recon and Special Intervention Group",祖鲁眼镜蛇，特殊侦察与介入小队
*,Helot Militia,希洛人民兵
*,"Patsy Garnett, Orc Troops' Varuna Div. NCO",帕特西·加内特，水神星兽人部队士官
*,"Nøkken, Special Intervention and Recon Team",水鬼，特殊介入与侦察队
*,Karhu Special Team,“熊”特勤队
*,Vargar Maximum Security Team,座狼最高戒备部队
*,Infirmarers of Saint Lazarus,圣拉撒路医疗团
*,Knight of Justice,审判骑士
*,Fusilier Indigo Richard Quinn,靛蓝别动队燧发枪手，理查德·奎因
*,Indigo Spec-Ops Captain Uma Sørensen,靛蓝别动队乌玛·索伦森上尉
*,Captain Uma Sørensen,乌玛·索伦森上尉
*,Bøyg Soldiers,蛇魔士兵
*,Troll-hunter Gunnar Lundmark,巨魔猎手，冈纳·伦德马克
*,FUSILIER,燧发枪手
*,AKAL COMMANDO,锡克突击队
*,AKALIS,锡克突击队
*,NISSE,精灵
*,BOLT,闪击队
*,ORC,兽人
*,KNIGHT HOSPITALLER,医院骑士
*,AQUILA,天鹰
*,SWISS GUARD,瑞士守卫
*,SQUALO,鲨鱼
*,SQUALOS,鲨鱼
*,CRABBOT,蟹式辅助遥控机
*,Dragões,火龙
*,DRÃGAO,火龙
*,CUTTER,快艇
*,CROC MAN,鳄人
*,TRAUMA-DOC,外伤医师
*,MACHINIST,机械师
*,PATHFINDER DRONBOT,开拓者遥控机
*,SIERRA DRONBOT,群山遥控机
*,CLIPPER DRONBOT,清扫者遥控机
*,FUGAZI DRONBOT,福格齐遥控机
*,JOAN OF ARC,圣女贞德
*,REGULAR,正规军
*,AUXILIA,辅助军
*,AUXBOT_1,辅助遥控机_1
*,HEXA,六面体
*,ORDER SERGEANT,修会军士
*,BAGH-MARI,猎虎者
*,GUARDA DE ASSALTO,突击守卫
*,KNIGHT OF SANTIAGO,圣地亚哥骑士
*,KNIGHT OF THE HOLY SEPULCHRE,圣陵骑士
*,TEUTONIC KNIGHT,条顿骑士
*,MAGISTER KNIGHT,导师骑士
*,UHLAN,枪骑兵
*,TIKBALANG,马头猿
*,TIKBALANGS,马头猿
*,SERAPH,炽天使
*,BULLETEER,弹眼
*,PALBOT,伺服遥控机
*,MULEBOT,骡式遥控机
*,SINGH,辛格
*,Gabriele DE FERSEN,加布里埃尔·德菲尔逊
*,DE FERSEN,德菲尔逊
*,CRUSADER,十字军
*,JOTUM,约顿
*,LT. STEPHEN RAO,尉官 斯蒂文·饶
*,BIPANDRA,比班德拉
*,BROTHER KONSTANTINOS,康斯坦丁修士
*,KAMAU,无声勇士
*,LOCUST,蝗虫
*,BLACK FRIAR,黑衣修士
*,TECH-BEE,机蜂
*,TECH-BEES,机蜂
*,KNIGHT OF MONTESA,蒙特莎骑士
*,ECHO-BRAVO,回音杀手
*,ZULU-COBRA,祖鲁眼镜蛇
*,HELOT MILITIAMAN,希洛
*,PATSY GARNETT,帕特西·加内特
*,NØKK,水鬼
*,NØKKEN,水鬼
*,KARHU Special Group,棕熊特勤队
*,KARHU,棕熊
*,VARG,座狼
*,INFIRMARER,医疗骑士
*,KNIGHT OF JUSTICE,审判骑士
*,QUINN,奎因
*,UMA SØRENSEN,乌玛·索伦森
*,BØYG,蛇魔
*,GUNNAR Lundmark,冈纳·伦德马克
*,GUNNAR,冈纳
*,Guijia Squadrons,龟甲，四灵中队
*,GŪIJIĂ Squadrons,龟甲，四灵中队
*,GŪIJIĂ,龟甲
*,"YĀN HUǑ Invincibles, Fire Support Heavy Regiment",烟火无敌军
*,YĀN HUǑ Invincibles,烟火无敌军
*,YĀN HUǑ,烟火
*,SHÀNG JÍ INVINCIBLES,上级无敌军
*,Shàng Jí Invincibles,上级无敌军
*,SHÀNG JÍ,上级
*,ZHĒNCHÁ,侦察
*,Armored Reconnaissance Regiment,装甲侦查团
*,Yáofáng LÓNG YÁ,遥防 龙牙
*,LÓNG YÁ,龙牙
*,TÁOWÙ,梼杌
*,Mastermind and schemer,犯罪大师与阴谋家
*,ZHÀNYĪNG Imperial Agents,鹰阶帝国特工
*,ZHÀNYING,鹰阶帝国特工
*,DĀOYĪNG Operative Control Unit,刀鹰行动控制单位
*,DĀOYĪNG,刀鹰
*,TIGER SOLDIERS,虎贲卫
*,TIGER SOLDIER,虎贲卫
*,"Zúyŏng Invincibles, Terra-cotta Soldiers",卒俑无敌军
*,"ZÚYǑNG Invincibles, Terra-cotta Soldiers",卒俑无敌军
*,ZÚYǑNG Invincibles,卒俑无敌军
*,ZÚYǑNG,卒俑
*,Wu Míng Assault Corps,无名突击队
*,WÚ MÍNG,无名
*,Dàofei Tactical Section,盗匪战术分队
*,DÀOFĚI Tactical Section,盗匪战术分队
*,DÀOFĚI,盗匪
*,HAC TAO Special Unit,诡道特种部队
*,HAC TAO,诡道
*,HSIEN Warriors,永仙御前卫
*,HSIEN,永仙
*,Guiláng Skirmishers,鬼狼前卫
*,GŬILÁNG Skirmishers,鬼狼前卫
*,GŬILÁNG,鬼狼前卫
*,KUNAI Solutions NINJAs,解决策
*,KUNAI NINJA,解决策
*,SHAOLIN Warrior Monks,少林武僧
*,SHAOLIN,少林武僧
*,Zhanshi Yisheng,战士医生
*,Zhanshi YĪSHĒNG,战士医生
*,MECH-ENGINEER,战地工程师
*,MECH-ENGINEERS,战地工程师
*,Gōngchéng,工程师
*,Wèibīng Yáokòng,卫兵遥控机
*,WÈIBĪNG Yaókòng,卫兵遥控机
*,MONSTRUCKER,怪兽卡车员
*,Hùsòng Yáokòng,护送遥控机
*,HÙSÒNG Yáokòng,护送遥控机
*,HÙSÒNG Yaókòng,护送遥控机
*,"ARMAND 'LE MUET', FREELANCE KILLER",“沉默者”阿曼德，自由杀手
*,Inactive Symbiont Armor,共生甲
*,ARMAND,阿曼德
*,Chaīyì Yáokòng,差役遥控机
*,CHAĪYÌ Yaókòng,差役遥控机
*,"Imperial Agents, Pheasant Rank",雉阶帝国特工
*,"IMPERIAL AGENT, Pheasant Rank",雉阶帝国特工
*,PHEASANT IMPERIAL AGENT,雉阶帝国特工
*,"KNAUF, Outlaw Sniper",克瑙夫，亡命狙击手
*,KNAUF,克瑙夫
*,"Imperial Agents, Crane Rank",鹤阶帝国特工
*,"IMPERIAL AGENTS, Crane Rank",鹤阶帝国特工
*,CRANE AGENT,鹤阶帝国特工
*,Sù-Jiàn Immediate Action Unit,速剑快速行动单位
*,SÙ-JIÀN Immediate Action Unit,速剑快速行动单位
*,SÙ-JIÀN,速剑
*,HIGH MOBILITY FORM,高机动模式
*,COMBAT FORM,战斗模式
*,AÏDA SWANSON,阿依达·斯旺森
*,Submondo Smuggler,地下世界走私客
*,Yáoxiè RUI SHI,遥械 瑞狮
*,RUI SHI,瑞狮
*,Yáoxiè LÙ DUĀN,遥械 甪端
*,LÙ DUĀN,甪端
*,Yáopú PANGGULING,遥仆 穿山甲
*,PANGGULING,穿山甲
*,Legendary Gunslinger,传奇枪客
*,WILD BILL,狂野比尔
*,Marksman Leader,神射手部队领袖
*,"Bào Troops, Judicial Watch Unit",锦豹卫，司法监察单位
*,"BÀO TROOPS, Judicial Watch Unit",锦豹卫，司法监察单位
*,Bào Troops,锦豹卫
*,BÀO TROOP,锦豹卫
*,\AUTHORIZED BOUNTY HUNTERS,授权赏金猎人
*,BOUNTY HUNTER,赏金猎人
*,"WARCORS, WAR CORRESPONDENTS",战地记者
*,WARCOR,战地记者
*,Journalist,记者(已作废)
*,"MIRANDA ASHCROFT, Authorized",米兰达·阿什克罗夫特
*,"MIRANDA ASHCROFT, Authorized BOUNTY HUNTER",米兰达·阿什克罗夫特，授权赏金猎人
*,MIRANDA ASHCROFT,米兰达·阿什克罗夫特
*,KǍNRÈN Counter-insurgency Group,侃刃平叛行动组
*,KǍNRÈN,侃刃
*,Krakot Renegades,科拉克特叛军
*,Guǐ Fēng,鬼风
*,XI ZHUANG,习壵
*,MAJOR LUNAH,卢娜少校
*,ex-Aristeia! Sniper,前竞技场狙击手
*,CUBE JÄGER,立方猎手
*,HǍIDÀO Special Support Group,海盗特殊支援部队
*,HǍIDÀO,海盗
*,LIÚ XĪNG Jump Infantry,流星突降步兵
*,LIÚ XĪNG,流星
*,MÓWÁNG TROOP,魔王部队
*,MÓWÁNG TROOPS,魔王部队
*,MÓWÁNG,魔王
*,HÚLÁNG Shocktroopers,狐狼突击队
*,HÚLÁNG,狐狼
*,"TAI SHENG, Zúyŏng Invincibles NCO",泰胜，卒佣无敌军士官
*,TAI SHENG,泰胜
*,"Krit KOKRAM, Zúyŏng Invincibles Specialist",克里特·科克拉姆，卒俑无敌军专家
*,Krit KOKRAM,克里特·科克拉姆
*,KOKRAM,科克拉姆
*,HÙNDÙN Ambush Unit,混沌伏击部队
*,HÙNDÙN,混沌
*,YĚ MĀO Infantry,野猫步兵
*,YĚ MĀO,野猫
*,JUJAK Regiment,朱雀团
*,Korean Shock Infantry,朝鲜突击步兵
*,JUJAK,朱雀
*,BLUE WOLF Mongol Cavalry,蓝狼蒙古骑兵
*,BLUE WOLF,蓝狼
*,Invincibles Lord of Thunder,无敌军闪电之主
*,LÉI GŌNG,雷公
*,"Captain QIANG GĀO, Invincibles Officer",强高上尉，无敌军军官
*,QIANG GĀO,强高
*,JING QO,荆轲
*,the Shadow of Huangdi,黄帝之影
*,LIANG KAI,梁凯
*,Wandering SHAOLIN Monk,少林云游僧
*,OKTAVIA GRÍMSDÓTTIR,屋大维娅·格里姆斯多蒂尔
*,Icebreaker's Harpooner,破冰船鱼叉手
*,OKTAVIA,屋大维娅
*,REM RACERS,遥控机竞速手
*,Mercenary Hacker-Pilots,佣兵黑客驾驶员
*,REM RACER,遥控机竞速手
*,"Imperial Agent ADIL MEHMUT, Special Division",阿迪力·麦合木提
*,TIAN GǑU 1st Section,天狗1队
*,"TIAN GǑU, Orbital Activity Squad",天狗，轨道行动组
*,TIAN GǑU,天狗
*,CHIEF MECH-ENGINEER CHUNG-HEE JEONG,工兵主任郑昌熙
*,CHUNG-HEE JEONG,郑昌熙
*,CHIEF JEONG,郑主任
*,Imperial Agent ADIL Mehmut (Crane Rank Armor),阿迪力（鹤阶装甲）
*,ADIL Crane Rank,阿迪力鹤阶
*,ADIL,阿迪力
*,JOHN HAWKWOOD,约翰·霍克伍德
*,Mercenary Officer,佣兵军官
*,HAWKWOOD,霍克伍德
*,ZHANSHI,战士
*,Son-Bae  Yáokòng,老兵遥控机
*,SON-BAE Yaókòng,老兵遥控机
*,SUN TZE,孙武子
*,CELESTIAL GUARD Monitor,御林军监督
*,CELESTIAL GUARD,御林军
*,KUANG SHI,僵尸
*,YÁOZĂO,遥蚤
*,NINJAS,忍者
*,NINJA,忍者
*,Line Kazaks,哥萨克前线部队
*,Para-Commandos,第1空降突击团
*,Dynamo Reg. of Kazak Light Cavalry,迪纳摩哥萨克轻骑兵团
*,Kazak Spetsnazs,哥萨克特种部队
*,"USAriadna Grunts, Line Rangers Regiments",阿里亚德娜合众国步兵，前线游骑兵团
*,USAriadna Grunts,阿里亚德娜合众国步兵
*,"FRONTOVIKS, Separate Assault Bat.",先锋老兵，独立突击营
*,TankHunters,坦克猎手
*,Minutemen,义勇军
*,Moblots,国民别动队
*,Veteran Kazaks,哥萨克老兵
*,Foxtrot Rangers,狐步游骑兵
*,"Hardcases, 2nd Irregular Frontiersmen Battalion",第2非正规拓荒者营“硬汉”
*,Hardcases,硬汉
*,Scouts,侦察兵
*,45th Highlanders Rifles,第45高地步枪兵团
*,Irmandinhos,伊尔曼迪诺，水上监察志愿兵兄弟会
*,Antipode Assault Pack,裂生恐狼突击兽群
*,Varangian Guard,瓦蓝守卫
*,Dog-Warriors,巨犬战士
*,Kazak Doktor,哈萨克军医
*,"VASSILY Plushenko, TankHunters Officer",瓦西里·普鲁申科，坦克猎手军官
*,Van Zant,范詹特
*,Caledonian Volunteers CORPS,卡利登志愿军团
*,Caledonian Volunteers,卡利登志愿军
*,"Métros, Troupes Métropolitaines",梅洛温卫国军
*,TROUPES MÉTROPOLITAINES,梅洛温卫国军
*,Loup-Garous,狼人疾行特战队
*,Highlander Caterans,高地游侠
*,Zouaves,佐夫连队
*,3rd Highlander Grey Rifles,第3灰骑兵高地步枪兵团
*,3rd Highlander Greys,第3灰骑兵高地步枪兵团
*,Caledonian Mormaers,卡利登总督卫军
*,Chasseurs,第4猎兵大队
*,9th Wulver Grenadiers,第9狼人掷弹兵军团
*,2nd Irregular Cameronians Reg.,第2非正规巨狼军团
*,"Dozers, Field Engineers",“推土机”，战地工程师
*,"Traktor Mul, Artillery and Support Regiment",骡子，炮击支援团
*,Lieutenant Margot Berthier,玛格·贝蒂埃上尉
*,Sergent Duroc,杜洛克军士
*,Equipe Mirage-5,幻影5号
*,William Wallace,威廉·华莱士
*,"Briscards, 8éme Régiment d'Infanterie de Montagne",第八山地步兵团“老兵团”
*,"The Scots Guards, 6th Caledonian Infantry Regiment",苏格兰卫队，第6卡利登步兵军团
*,the Scots Guards,苏格兰卫队
*,Scots Guard,苏格兰卫队
*,"Brigadier Jacques Bruant, Sous-officier des Métros",雅克·布鲁安下士，卫国军士官
*,Brigadier Jacques Bruant,雅克·布鲁安下士
*,Uxía McNeill,乌夏·麦克尼尔
*,Volunteer Intel Isobel McGregor,志愿军情报员伊泽贝尔·玛格丽格
*,"Wardrivers, Merc. Hackers",战争驱动，佣兵黑客
*,"Wardrivers, Mercenary Hackers",战争驱动，佣兵黑客
*,"Mavericks, 9th Motorized Recon Bat.",独行者，第9摩托化侦查营
*,"Marauders, 5307th Ranger Unit",掠夺者，第5307游骑兵部队
*,"Devil Dog Teams, 2nd Assault Bat. of the USAMC",地狱犬小组，阿里亚德娜合众国海军陆战队第2突击营
*,6th AIRBORNE RANGERS Reg.,第6空降游骑兵
*,Desperadoes,亡命徒
*,"Col. Yevgueni Voronin, Cossack Diplomatic Corps",叶夫根尼·沃罗宁上校，哥萨克外交团
*,Col. Yevgueni Voronin,叶夫根尼·沃罗宁上校
*,"Blackjacks, 10th Heavy Rangers Battalion",黑杰克，第10游骑兵营
*,The Unknown Ranger,无名游骑兵
*,Grunt Intel Rosalind 'Rosie' Munroe,步兵情报员，萝莎琳德·萝茜·梦露
*,"Streloks, Kazak Reconaissance Unit",斯特列洛克，哥萨克巡逻队
*,K-9 ANTIPODE,K-9恐狼
*,Armata-2 Proyekt 'Ratnik',阿玛塔-2原型机“勇士”
*,"112, Emergency Service (Motorized)",112，紧急救援（摩托化）
*,"112, Emergency Service",112，紧急救援
*,"Cadin FirstStrike Donn, Point-man of the Grenadiers Reg.",卡丁·“先攻”多恩，掷弹兵军团尖兵
*,"Cadin ""FirstStrike"" Donn",卡丁·“先攻”多恩，掷弹兵军团尖兵
*,LINE KAZAK,哥萨克前线部队
*,PARA-COMMANDO,空降突击团
*,DYNAMO,迪纳摩
*,SPETSNAZ,特种兵
*,GRUNT,步兵
*,FRONTOVIK,先锋老兵
*,TANKHUNTER,坦克猎手
*,MINUTEMAN,义勇军
*,MOBLOT,国民别动队
*,Veteran KAZAK,哥萨克老兵
*,FOXTROT,狐步
*,HARDCASE FRONTIERSMAN,硬汉
*,SCOUT,侦察兵
*,IRMANDINHO,伊尔曼迪诺
*,HANDLER,驯兽师
*,VARANGIAN,瓦蓝
*,DOG-WARRIOR,巨犬战士
*,KAZAK DOKTOR,哈萨克军医
*,VASSILY,瓦西里
*,VAN ZANT,范詹特
*,VOLUNTEER,志愿军
*,MÉTRO,卫国军
*,"LOUP-GAROU, Groupe Mobile d'Action Spéciale",狼人疾行特战队
*,LOUP-GAROU,狼人
*,CATERAN,游侠
*,ZOUAVE,佐夫连队
*,HIGHLANDER GREY,高地灰骑兵
*,CALEDONIAN MORMAER,卡利登总督卫军
*,CHASSEUR,猎兵
*,WULVER,狼人
*,CAMERONIAN,巨狼
*,DOZER,推土机
*,TRAKTOR MUL,骡子
*,MARGOT,玛格
*,DUROC,杜洛克
*,WALLACE,华莱士
*,BRISCARDS,老兵
*,BRISCARD,老兵
*,Scot,苏格兰士兵
*,BRIGADIER BRUANT,布鲁安下士
*,UXÍA McNEILL,乌夏·麦克尼尔
*,ISOBEL McGREGOR,伊泽贝尔·玛格丽格
*,WARDRIVER,战争驱动
*,MAVERICK,独行者
*,MAVERICKs,独行者
*,MARAUDER,掠夺者
*,DEVIL DOG Teams,地狱犬小组
*,DEVIL DOG,地狱犬
*,AIRBORNE RANGER,空降游骑兵
*,DESPERADO,亡命徒
*,COLONEL VORONIN,沃罗宁上校
*,BLACKJACKS,黑杰克
*,BLACKJACK,黑杰克
*,UNKNOWN RANGER,无名游骑兵
*,ROSIE,萝茜
*,STRELOKs,斯特列洛克
*,STRELOK,斯特列洛克
*,RATNIK,勇士
*,112 (Motorized),112(摩托化）
*,FIRSTSTRIKE DONN,“先攻”多恩
*,Asuras,阿修罗
*,Maruts,暴风神
